Iteration,Training_Loss
1320,22221334.0
1321,11311803.0
1322,19670196.0
1323,15364813.0
1324,35651836.0
1325,5169066.5
1326,21102014.0
1327,1126246.4
1328,8155797.5
1329,36920750.0
1330,30984436.0
1331,15066241.0
1332,28082408.0
1333,5207065.0
1334,40640150.0
1335,7053313.0
1336,22110348.0
1337,11277216.0
1338,19638418.0
1339,15303349.0
1340,35587788.0
1341,5133692.5
1342,21003176.0
1343,1123673.4
1344,8128258.5
1345,36853040.0
1346,30888994.0
1347,14981596.0
1348,27934668.0
1349,5189584.0
1350,40422324.0
1351,7041785.5
1352,22001120.0
1353,11243474.0
1354,19606814.0
1355,15243764.0
1356,35523944.0
1357,5099629.0
1358,20905290.0
1359,1121628.4
1360,8101185.5
1361,36785910.0
1362,30796224.0
1363,14899311.0
1364,27788630.0
1365,5173999.0
1366,40207050.0
1367,7031746.0
1368,21894278.0
1369,11210802.0
1370,19575702.0
1371,15185824.0
1372,35460980.0
1373,5066780.5
1374,20809332.0
1375,1120024.4
1376,8074631.5
1377,36719136.0
1378,30705392.0
1379,14818234.0
1380,27645502.0
1381,5160257.5
1382,39996430.0
1383,7023304.0
1384,21788796.0
1385,11178861.0
1386,19544972.0
1387,15129150.0
1388,35398110.0
1389,5035312.0
1390,20713500.0
1391,1118997.4
1392,8048717.0
1393,36652956.0
1394,30617626.0
1395,14739608.0
1396,27504068.0
1397,5148729.0
1398,39787908.0
1399,7016240.5
1400,21685528.0
1401,11148091.0
1402,19514644.0
1403,15073812.0
1404,35336016.0
1405,5004836.0
1406,20619408.0
1407,1118456.4
1408,8023121.5
1409,36587424.0
1410,30531522.0
1411,14662512.0
1412,27364624.0
1413,5139228.0
1414,39583324.0
1415,7010626.5
1416,21583468.0
1417,11117895.0
1418,19484550.0
1419,15019949.0
1420,35273916.0
1421,4975837.0
1422,20525904.0
1423,1118396.0
1424,7998074.5
1425,36522556.0
1426,30448668.0
1427,14587498.0
1428,27226818.0
1429,5131529.5
1430,39380976.0
1431,7006417.5
1432,21483638.0
1433,11088913.0
1434,19454988.0
1435,14967520.0
1436,35212400.0
1437,4947815.0
1438,20433748.0
1439,1118793.9
1440,7973361.0
1441,36458180.0
1442,30367528.0
1443,14513575.0
1444,27091368.0
1445,5125857.0
1446,39182056.0
1447,7003556.0
1448,21385146.0
1449,11060497.0
1450,19425726.0
1451,14916131.0
1452,35151092.0
1453,4921337.5
1454,20342020.0
1455,1119707.9
1456,7949227.5
1457,36394580.0
1458,30289470.0
1459,14442065.0
1460,26957650.0
1461,5122383.5
1462,38985716.0
1463,7001987.0
1464,21288636.0
1465,11033049.0
1466,19396868.0
1467,14866146.0
1468,35090268.0
1469,4895928.5
1470,20251886.0
1471,1121125.6
1472,7925510.5
1473,36331580.0
1474,30213488.0
1475,14372202.0
1476,26825706.0
1477,5120961.0
1478,38791730.0
1479,7001887.0
1480,21193624.0
1481,11006200.0
1482,19368348.0
1483,14817610.0
1484,35029824.0
1485,4871833.0
1486,20162694.0
1487,1123025.6
1488,7902185.5
1489,36269304.0
1490,30140078.0
1491,14304014.0
1492,26695900.0
1493,5121864.0
1494,38601060.0
1495,7003036.0
1496,21099792.0
1497,10980339.0
1498,19340458.0
1499,14769889.0
1500,34969460.0
1501,4849171.5
1502,20074140.0
1503,1125445.9
1504,7879378.5
1505,36207900.0
1506,30069790.0
1507,14237403.0
1508,26567508.0
1509,5124912.0
1510,38412100.0
1511,7005519.0
1512,21008236.0
1513,10955081.0
1514,19313144.0
1515,14723632.0
1516,34909750.0
1517,4827711.5
1518,19986670.0
1519,1128300.4
1520,7856934.5
1521,36147510.0
1522,30002058.0
1523,14172683.0
1524,26441294.0
1525,5130395.5
