draw,delta,Year,Month,NN,Sax,Mosley,date
14,0.0071093662710827845,2006,6,39.54892431159151,34.625655438862,33.6094958619321,2006-06-01
14,0.0071093662710827845,2006,7,37.51741930461964,36.633343669143,31.8792424183594,2006-07-01
14,0.0071093662710827845,2006,8,50.363216869197096,35.4435467782351,31.6968876335872,2006-08-01
14,0.0071093662710827845,2006,9,32.807415844638314,31.4652671580101,31.9955079222751,2006-09-01
14,0.0071093662710827845,2006,10,31.24555088934106,29.807644289955,34.4949787731576,2006-10-01
14,0.0071093662710827845,2006,11,30.744890402744655,32.8944423663793,32.995797175069,2006-11-01
14,0.0071093662710827845,2006,12,36.49540642685457,33.9464427806876,32.2942728210963,2006-12-01
14,0.0071093662710827845,2007,1,31.018109388137038,36.5246980658169,33.9689213714052,2007-01-01
14,0.0071093662710827845,2007,2,20.2407440369059,33.855521778791,37.4531488693721,2007-02-01
14,0.0071093662710827845,2007,3,33.38051549112624,37.6945684492484,36.9922024193878,2007-03-01
14,0.0071093662710827845,2007,4,42.15237591744952,33.5808743781561,36.6768488716377,2007-04-01
14,0.0071093662710827845,2007,5,34.82162625613874,38.7053590596694,35.7294986670825,2007-05-01
14,0.0071093662710827845,2007,6,42.59179252031923,36.9602582926724,35.5832246210842,2007-06-01
14,0.0071093662710827845,2007,7,49.251420753299385,38.8007442801057,36.765081838147,2007-07-01
14,0.0071093662710827845,2007,8,36.41236785243854,36.7338717853361,37.4714265283471,2007-08-01
14,0.0071093662710827845,2007,9,36.41577816942578,32.8273402925849,33.7704645176445,2007-09-01
14,0.0071093662710827845,2007,10,34.904850810761836,32.3450929487437,36.3843020107406,2007-10-01
14,0.0071093662710827845,2007,11,40.91942746066815,33.890640006747,35.8187776702519,2007-11-01
14,0.0071093662710827845,2007,12,25.645694908671654,35.8357342274704,31.1408061802414,2007-12-01
14,0.0071093662710827845,2008,1,36.05860632794074,37.3624807260872,39.3632546599204,2008-01-01
14,0.0071093662710827845,2008,2,35.187378527699494,36.745148993141,33.4860654458338,2008-02-01
14,0.0071093662710827845,2008,3,36.216547998897184,39.1165915125153,40.2129505181045,2008-03-01
14,0.0071093662710827845,2008,4,38.03441409344292,35.6159967768006,37.8504984863919,2008-04-01
14,0.0071093662710827845,2008,5,44.32308431311611,37.6091787237613,36.8427044521292,2008-05-01
14,0.0071093662710827845,2008,6,36.97711964809308,40.832556558926,39.5811440722983,2008-06-01
14,0.0071093662710827845,2008,7,43.45396136602679,39.7222103455026,37.5198452777637,2008-07-01
14,0.0071093662710827845,2008,8,40.415650513312954,38.2395986574368,35.5720366523734,2008-08-01
14,0.0071093662710827845,2008,9,37.825989452242375,33.9390601023044,37.1794671005526,2008-09-01
14,0.0071093662710827845,2008,10,38.57522499914687,35.7880045091079,42.1945448477368,2008-10-01
14,0.0071093662710827845,2008,11,33.87634191108007,36.9296951091067,34.0869254179271,2008-11-01
14,0.0071093662710827845,2008,12,28.56612963133847,37.6099267676472,35.6210118513054,2008-12-01
14,0.0071093662710827845,2009,1,34.791765712835094,34.5038790513281,35.2489393544582,2009-01-01
14,0.0071093662710827845,2009,2,26.140699376258056,35.6169067082288,36.8706860077405,2009-02-01
14,0.0071093662710827845,2009,3,36.565858620607855,37.0941334089327,39.0561565142298,2009-03-01
14,0.0071093662710827845,2009,4,36.18718141419881,38.217646229763,38.5499542854467,2009-04-01
14,0.0071093662710827845,2009,5,37.70781117830207,37.7733250845989,36.5088271719195,2009-05-01
14,0.0071093662710827845,2009,6,42.11894350408107,40.2172634452594,38.6856689638381,2009-06-01
14,0.0071093662710827845,2009,7,35.98726700693257,41.3097383344391,37.2093057707204,2009-07-01
14,0.0071093662710827845,2009,8,45.68161315278464,40.6980537909665,38.2141263957071,2009-08-01
14,0.0071093662710827845,2009,9,41.26583870018675,33.5997409307427,35.8982124925994,2009-09-01
14,0.0071093662710827845,2009,10,29.608792421961756,31.6618434869577,39.0599893575749,2009-10-01
14,0.0071093662710827845,2009,11,36.15569470263896,37.6063434647557,35.9400016408502,2009-11-01
14,0.0071093662710827845,2009,12,43.10973503755436,37.0223268923694,34.0793328732573,2009-12-01
14,0.0071093662710827845,2010,1,28.104686221074274,37.3040469306713,37.3324562217654,2010-01-01
14,0.0071093662710827845,2010,2,29.946062951348154,35.5167671637215,37.7185865053814,2010-02-01
14,0.0071093662710827845,2010,3,40.20260072347033,37.7073723116369,43.8650382103662,2010-03-01
14,0.0071093662710827845,2010,4,39.48826307035285,35.478404420193,42.4547292761795,2010-04-01
14,0.0071093662710827845,2010,5,43.488612473527695,38.4418559157215,37.9212417405837,2010-05-01
14,0.0071093662710827845,2010,6,40.16456480975565,41.9536026516187,37.3294387953287,2010-06-01
14,0.0071093662710827845,2010,7,34.036066443259145,43.1959120614222,36.5611825537783,2010-07-01
14,0.0071093662710827845,2010,8,39.08966662936502,39.9343564538418,35.9587758287146,2010-08-01
14,0.0071093662710827845,2010,9,43.81265305882655,32.7736780022943,33.3616731436752,2010-09-01
14,0.0071093662710827845,2010,10,36.600923513454944,33.7926738822277,34.3210838547451,2010-10-01
14,0.0071093662710827845,2010,11,35.046840859543494,33.8617637204632,36.323907300291,2010-11-01
14,0.0071093662710827845,2010,12,34.72764113648185,34.748148376648,31.560468459651,2010-12-01
14,0.0071093662710827845,2011,1,33.976897475619694,38.82756974914,39.8456401814422,2011-01-01
14,0.0071093662710827845,2011,2,33.00583413295776,36.3042847743038,38.1499058115584,2011-02-01
14,0.0071093662710827845,2011,3,41.5683013327844,39.8842644956956,43.4273188213024,2011-03-01
14,0.0071093662710827845,2011,4,38.09133510729042,36.3475773622169,41.0401340500366,2011-04-01
14,0.0071093662710827845,2011,5,41.64769327622493,38.0047273701718,38.0567237299561,2011-05-01
14,0.0071093662710827845,2011,6,42.322364279129275,40.8768531393659,38.4856959971162,2011-06-01
14,0.0071093662710827845,2011,7,41.329541845699794,45.8296516401783,37.7637950698583,2011-07-01
14,0.0071093662710827845,2011,8,42.04173095512478,38.9519616896249,37.7962369281492,2011-08-01
14,0.0071093662710827845,2011,9,45.41002430417973,33.5801858675042,35.4779181051565,2011-09-01
14,0.0071093662710827845,2011,10,33.064665345313294,34.287770858914,36.6412974380226,2011-10-01
14,0.0071093662710827845,2011,11,31.469211738385145,35.7832906975031,35.6159709688511,2011-11-01
14,0.0071093662710827845,2011,12,31.598073116078815,36.8475352641696,33.2250358073384,2011-12-01
14,0.0071093662710827845,2012,1,28.294283848356926,38.3322423380927,40.3176817337952,2012-01-01
14,0.0071093662710827845,2012,2,36.949016566740035,37.849118334681,40.7940533754154,2012-02-01
14,0.0071093662710827845,2012,3,37.13621018883803,37.9967734699162,39.7297014335373,2012-03-01
14,0.0071093662710827845,2012,4,40.515262756964454,37.9247616326346,38.657801840876,2012-04-01
14,0.0071093662710827845,2012,5,37.3222536454061,39.6361796464693,39.6642533244553,2012-05-01
14,0.0071093662710827845,2012,6,42.52516550965875,44.054969566281,40.4733220112585,2012-06-01
14,0.0071093662710827845,2012,7,40.23110966463329,44.6772384463298,36.9580012999513,2012-07-01
14,0.0071093662710827845,2012,8,42.109568563799655,38.2830406023781,37.3302533538792,2012-08-01
14,0.0071093662710827845,2012,9,40.83383897762449,33.1110943666381,37.548880461094,2012-09-01
14,0.0071093662710827845,2012,10,38.27955660364369,34.30355280596,37.8159263528314,2012-10-01
14,0.0071093662710827845,2012,11,38.0511486194731,32.7110470730984,33.4829459068017,2012-11-01
